PROFILE,ACCOUNT_NUM,REGION,TITLE_ID,CHECK_RESULT,ITEM_SCORED,ITEM_LEVEL,TITLE_TEXT,CHECK_RESULT_EXTENDED,CHECK_ASFF_COMPLIANCE_TYPE,CHECK_SEVERITY,CHECK_SERVICENAME,CHECK_ASFF_RESOURCE_TYPE,CHECK_ASFF_TYPE,CHECK_RISK,CHECK_REMEDIATION,CHECK_DOC,CHECK_CAF_EPIC,CHECK_RESOURCE_ID,PROWLER_START_TIME,ACCOUNT_DETAILS_EMAIL,ACCOUNT_DETAILS_NAME,ACCOUNT_DETAILS_ARN,ACCOUNT_DETAILS_ORG,ACCOUNT_DETAILS_TAGS
ENV,8.12345E+11,us-east-1,1.1,PASS,,CIS Level 1,[check11] Avoid the use of the root account,us-east-1: Root user in the account wasn't accessed in the last 1 days,Software and Configuration Checks,High,iam,AwsAccount,Software and Configuration Checks/Industry and Regulatory Standards/CIS AWS Foundations Benchmark,"The ""root"" account has unrestricted access to all resources in the AWS account. It is highly recommended that the use of this account be avoided.",Follow the remediation instructions of the Ensure IAM policies are attached only to groups or roles recommendation.,http://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html,IAM,root,2022-08-23T21:20:17+0000,,,,,
ENV,8.12345E+11,us-east-1,1.1,PASS,,CIS Level 1,[check119] Ensure IAM instance roles are used for AWS resource access from instances,us-east-1: Password Policy limits reuse,Software and Configuration Checks,Medium,iam,AwsAccount,Software and Configuration Checks/Industry and Regulatory Standards/CIS AWS Foundations Benchmark,Password policies are used to enforce password complexity requirements. IAM password policies can be used to ensure password are comprised of different character sets. It is recommended that the password policy require at least one uppercase letter.,"Ensure ""Number of passwords to remember"" is set to 24.",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html,IAM,password policy,2022-08-23T21:20:17+0000,,,,,
ENV,8.12345E+11,us-east-1,1.11,PASS,,CIS Level 1,[check119] Ensure IAM instance roles are used for AWS resource access from instances,us-east-1: Password Policy includes expiration (Value: 90),Software and Configuration Checks,Medium,iam,AwsAccount,Software and Configuration Checks/Industry and Regulatory Standards/CIS AWS Foundations Benchmark,Password policies are used to enforce password complexity requirements. IAM password policies can be used to ensure password are comprised of different character sets. It is recommended that the password policy require at least one uppercase letter.,"Ensure ""Password expiration period (in days):"" is set to 90 or less.",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html,IAM,password policy,2022-08-23T21:20:17+0000,,,,,
ENV,8.12345E+11,us-east-1,1.12,PASS,,CIS Level 1,[check119] Ensure IAM instance roles are used for AWS resource access from instances,us-east-1: No access key 1 found for root,Software and Configuration Checks,Critical,iam,AwsAccount,Software and Configuration Checks/Industry and Regulatory Standards/CIS AWS Foundations Benchmark,The root account is the most privileged user in an AWS account. AWS Access Keys provide programmatic access to a given AWS account. It is recommended that all access keys associated with the root account be removed. Removing access keys associated with the root account limits vectors by which the account can be compromised. Removing the root access keys encourages the creation and use of role based accounts that are least privileged.,Use the credential report to  that the user and ensure the access_key_1_active and access_key_2_active fields are set to FALSE .,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_getting-report.html,IAM,root access key1,2022-08-23T21:20:17+0000,,,,,
ENV,8.12345E+11,us-east-1,1.12,PASS,,CIS Level 1,[check112] Ensure no root account access key exists,us-east-1: No access key 2 found for root,Software and Configuration Checks,Critical,iam,AwsAccount,Software and Configuration Checks/Industry and Regulatory Standards/CIS AWS Foundations Benchmark,The root account is the most privileged user in an AWS account. AWS Access Keys provide programmatic access to a given AWS account. It is recommended that all access keys associated with the root account be removed. Removing access keys associated with the root account limits vectors by which the account can be compromised. Removing the root access keys encourages the creation and use of role based accounts that are least privileged.,Use the credential report to  that the user and ensure the access_key_1_active and access_key_2_active fields are set to FALSE .,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_getting-report.html,IAM,root access key2,2022-08-23T21:20:17+0000,,,,,
ENV,8.12345E+11,us-east-1,1.13,FAIL,,CIS Level 1,[check113] Ensure MFA is enabled for the root account,us-east-1: MFA is not ENABLED for root account,Software and Configuration Checks,Critical,iam,AwsAccount,Software and Configuration Checks/Industry and Regulatory Standards/CIS AWS Foundations Benchmark,"The root account is the most privileged user in an AWS account. MFA adds an extra layer of protection on top of a user name and password. With MFA enabled when a user signs in to an AWS website they will be prompted for their user name and password as well as for an authentication code from their AWS MFA device. When virtual MFA is used for root accounts it is recommended that the device used is NOT a personal device but rather a dedicated mobile device (tablet or phone) that is managed to be kept charged and secured independent of any individual personal devices. (""non-personal virtual MFA"") This lessens the risks of losing access to the MFA due to device loss / trade-in or if the individual owning the device is no longer employed at the company.",Using IAM console navigate to Dashboard and expand Activate MFA on your root account.,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_root-user.html#id_root-user_manage_mfa,IAM,MFA,2022-08-23T21:20:17+0000,,,,,
ENV,8.12345E+11,us-east-1,1.14,FAIL,,CIS Level 2,[check114] Ensure hardware MFA is enabled for the root account,us-east-1: MFA is not ENABLED for root account,Software and Configuration Checks,Critical,iam,AwsAccount,Software and Configuration Checks/Industry and Regulatory Standards/CIS AWS Foundations Benchmark,The root account is the most privileged user in an AWS account. MFA adds an extra layer of protection on top of a user name and password. With MFA enabled when a user signs in to an AWS website they will be prompted for their user name and password as well as for an authentication code from their AWS MFA device. For Level 2 it is recommended that the root account be protected with a hardware MFA.,Using IAM console navigate to Dashboard and expand Activate MFA on your root account.,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_root-user.html#id_root-user_manage_mfa,IAM,MFA,2022-08-23T21:20:17+0000,,,,,
ENV,8.12345E+11,us-east-1,1.15,INFO,,CIS Level 1,[check115] Ensure security questions are registered in the AWS account,us-east-1: No command available for check 1.15. Login to the AWS Console as root & click on the Account. Name -> My Account -> Configure Security Challenge Questions.,Software and Configuration Checks,Medium,support,AwsAccount,Software and Configuration Checks/Industry and Regulatory Standards/CIS AWS Foundations Benchmark,"The AWS support portal allows account owners to establish security questions that can be used to authenticate individuals calling AWS customer service for support. It is recommended that security questions be established. When creating a new AWS account a default super user is automatically created. This account is referred to as the ""root"" account. It is recommended that the use of this account be limited and highly controlled. During events in which the root password is no longer accessible or the MFA token associated with root is lost/destroyed it is possible through authentication using secret questions and associated answers to recover root login access.",Login as root account and from My Account configure Security questions.,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_access-keys_retrieve.html,IAM,root,2022-08-23T21:20:17+0000,,,,,
ENV,8.12345E+11,us-east-1,1.17,INFO,,CIS Level 1,[check117] Maintain current contact details,No command available for check 1.17. See section 1.17 on the CIS Benchmark guide for details.,Software and Configuration Checks,Medium,support,AwsAccount,Software and Configuration Checks/Industry and Regulatory Standards/CIS AWS Foundations Benchmark,Ensure contact email and telephone details for AWS accounts are current and map to more than one individual in your organization. An AWS account supports a number of contact details; and AWS will use these to contact the account owner if activity judged to be in breach of Acceptable Use Policy. If an AWS account is observed to be behaving in a prohibited or suspicious manner; AWS will attempt to contact the account owner by email and phone using the contact details listed. If this is unsuccessful and the account behavior needs urgent mitigation; proactive measures may be taken; including throttling of traffic between the account exhibiting suspicious behavior and the AWS API endpoints and the Internet. This will result in impaired service to and from the account in question.,Using the Billing and Cost Management console complete contact details.,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/manage-account-payment.html#contact-info,IAM,root,2022-08-23T21:20:17+0000,,,,,
ENV,8.12345E+11,us-east-1,1.18,INFO,,CIS Level 1,[check118] Ensure security contact information is registered,No command available for check 1.18. See section 1.18 on the CIS Benchmark guide for details.,Software and Configuration Checks,Medium,support,AwsAccount,Software and Configuration Checks/Industry and Regulatory Standards/CIS AWS Foundations Benchmark,AWS provides customers with the option of specifying the contact information for accounts security team. It is recommended that this information be provided. Specifying security-specific contact information will help ensure that security advisories sent by AWS reach the team in your organization that is best equipped to respond to them.,Go to the My Account section and complete alternate contacts.,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/manage-account-payment.html,IAM,root,2022-08-23T21:20:17+0000,,,,,
